	实部	虚部	幅值	相位
	-335.824432	1255.061401	0.108268	104.980057
	-369.703064	1253.791138	0.108930	106.429108
	-387.094055	1247.547852	0.108852	107.238274
	-387.270569	1240.536377	0.108298	107.337318
	-389.709076	1228.919800	0.107436	107.594612
	-387.061493	1220.028809	0.106663	107.601944
	-391.546783	1231.862549	0.107716	107.632828
	-403.596893	1229.001221	0.107798	108.179878
	-399.656860	1226.862549	0.107526	108.043289
	-406.576935	1214.794678	0.106752	108.504761
	-384.579865	1214.228271	0.106140	107.574440
	151.472107	1180.944946	0.099218	82.690948
	-512.570984	1199.067627	0.108669	113.145477
	-482.581848	1193.718750	0.107298	112.011887
	-469.490509	1196.453369	0.107106	111.425133
	-476.541779	1196.165039	0.107300	111.721901
	-469.603851	1189.657959	0.106582	111.541061
	-474.396729	1187.987671	0.106600	111.768211
	-485.633575	1181.094849	0.106420	112.351105
	-486.368958	1179.955078	0.106355	112.401108
	-492.314209	1174.702515	0.106141	112.738403
	-498.724335	1168.403687	0.105866	113.114845
	-496.114838	1170.016235	0.105904	112.978104
	-501.137146	1169.183350	0.106005	113.201019
	-505.511536	1166.825073	0.105969	113.424034
	-507.333984	1153.793579	0.105034	113.735550
	-520.884888	1151.761353	0.105339	114.334892
	-515.497803	1149.067749	0.104950	114.162086
	-530.239929	1151.927490	0.105675	114.716934
	-523.801514	1145.871826	0.104993	114.566109
	-530.792358	1142.870361	0.105010	114.911949
	-535.943237	1140.234985	0.104992	115.174873
	-545.016357	1140.123169	0.105308	115.549332
	-552.439087	1130.117065	0.104826	116.050926
	-545.560669	1124.166870	0.104130	115.887413
	-551.140137	1123.365723	0.104273	116.133270
	-556.803162	1121.363403	0.104333	116.406288
	-557.691956	1116.502563	0.104003	116.542084
	-562.782471	1111.821411	0.103845	116.847656
	-568.093933	1114.829224	0.104269	117.002457
	-580.402771	1108.606079	0.104279	117.633987
	-581.769836	1110.428345	0.104466	117.650703
	-580.266663	1099.356567	0.103592	117.826157
	-585.394104	1090.252319	0.103123	118.232887
	-594.407593	1089.803223	0.103447	118.609215
	-601.241455	1089.741211	0.103717	118.886780
	-603.076965	1085.406006	0.103475	119.057579
	-606.212158	1088.205322	0.103806	119.121094
	-617.357361	1073.158936	0.103172	119.910583
	-606.895325	1075.702515	0.102925	119.431053
	-622.388245	1064.342285	0.102747	120.317528
	-622.675171	1069.713501	0.103145	120.203491
	-626.062012	1067.789429	0.103149	120.383781
	-632.205627	1059.689209	0.102829	120.820107
	-641.940674	1061.586914	0.103382	121.161316
	-638.935913	1057.530762	0.102963	121.139420
	-651.308472	1063.629517	0.103933	121.481026
	-723.407471	1155.902954	0.113634	122.039879
	-630.008972	1001.129761	0.098572	122.182129
	-643.994141	1017.892090	0.100375	122.320496
	-654.932373	1018.390259	0.100901	122.745300
	-658.159973	1010.942017	0.100526	123.065582
	-585.004150	923.338745	0.091088	122.357323
	-667.466187	1005.614624	0.100581	123.573807
	-666.961609	1006.648804	0.100629	123.526718
	-681.940796	1002.221863	0.101019	124.232506
	-683.617310	995.831543	0.100658	124.468781
	-678.566528	994.073120	0.100299	124.317924
	-686.922607	987.859985	0.100268	124.813377
	-689.934631	984.331543	0.100171	125.027267
	-694.760010	984.188416	0.100392	125.219101
	-696.498901	972.956543	0.099713	125.597290
	-700.017273	973.798706	0.099941	125.710548
	-705.896362	964.790771	0.099621	126.191353
	-710.767456	969.420654	0.100172	126.248428
	-716.091919	961.378479	0.099897	126.680939
	-714.485229	959.148438	0.099668	126.683029
	-715.800659	948.311523	0.099011	127.046097
	-724.989990	941.806885	0.099044	127.588593
	-725.745300	939.456909	0.098928	127.686661
	-722.723999	938.201172	0.098691	127.608124
	-733.677856	940.430420	0.099397	127.959618
	-732.838379	931.136963	0.098744	128.204025
	-737.853882	922.167847	0.098419	128.664352
	-740.878967	919.475220	0.098402	128.860580
	-749.827881	915.758484	0.098631	129.310806
	-753.992432	904.359497	0.098120	129.819016
	-762.872314	904.524048	0.098606	130.144180
	-759.503296	901.276123	0.098218	130.120758
	-763.445068	901.565674	0.098449	130.257904
	-764.292114	881.916626	0.097251	130.913055
	-778.409424	891.635986	0.098634	131.121368
	-771.069153	881.431885	0.097591	131.179169
	-772.802490	878.670654	0.097514	131.332047
	-790.176880	877.641235	0.098412	131.998032
	-788.148865	860.674683	0.097252	132.481384
	-793.860657	857.284058	0.097366	132.800247
	-801.611755	859.171814	0.097921	133.015015
	-804.699219	849.112427	0.097487	133.461700
	-815.671997	836.440369	0.097359	134.279785
	-826.654419	852.529114	0.098959	134.117203
	-838.357849	839.406372	0.098863	134.964203
	-876.307495	825.362244	0.100317	136.714828
	-1141.457031	738.386597	0.113289	147.101944
	-630.185059	879.865173	0.090189	125.611343
	-735.492310	842.258057	0.093182	131.128723
	-763.876709	836.016724	0.094370	132.418259
	-774.420776	826.452393	0.094382	133.138428
	-790.435120	819.253784	0.094867	133.974319
	-799.091736	813.720093	0.095040	134.480331
	-805.499634	805.617859	0.094936	134.995789
	-797.369019	801.044800	0.094188	134.868240
	-797.979126	795.111572	0.093874	135.103134
	-808.594788	794.346558	0.094458	135.509293
	-819.754150	783.638855	0.094505	136.290329
	-819.909424	771.952148	0.093844	136.725601
	-826.908569	776.544800	0.094531	136.799042
	-828.900085	771.221191	0.094349	137.064423
	-831.744507	759.632507	0.093869	137.594543
	-836.826355	757.316284	0.094053	137.855347
	-836.684937	757.581848	0.094059	137.840530
	-841.082031	749.454651	0.093879	138.297043
	-848.531372	739.157593	0.093777	138.940796
	-857.050049	730.809753	0.093861	139.545654
	-870.682983	709.843384	0.093614	140.810608
	-635.983643	414.670197	0.063269	146.895096
	41566.781250	-48937.113281	5.350648	-49.655701
	-583.490112	490.110046	0.063501	139.970993
	-828.261658	758.385986	0.093585	137.521667
	-854.871216	737.535278	0.094088	139.214203
	-858.928406	721.497559	0.093479	139.969833
	-861.487183	711.917786	0.093132	140.430283
	-857.274597	709.081421	0.092711	140.404678
	-861.317383	694.973694	0.092228	141.100876
	-859.765320	698.086609	0.092290	140.925125
	-861.793152	685.789307	0.091780	141.488266
	-872.577271	687.820557	0.092590	141.752594
	-870.236450	675.243042	0.091790	142.191025
	-872.148438	672.476807	0.091775	142.365707
	-874.025818	665.196106	0.091530	142.726273
	-875.204224	661.016418	0.091398	142.937317
	-877.020630	656.109314	0.091274	143.199417
	-872.287354	652.307800	0.090768	143.210388
	-870.283325	641.786926	0.090111	143.593231
	-869.780884	642.849792	0.090130	143.532120
	-873.771057	636.419739	0.090081	143.931915
	-866.658691	626.380371	0.089110	144.142365
	-861.923462	615.474487	0.088259	144.470474
	-843.572632	612.772522	0.086887	144.005295
	-716.030029	609.028870	0.078334	139.616730
	-1047.242554	612.174561	0.101087	149.691223
	-954.392395	603.424622	0.094096	147.696457
	-930.987427	602.603821	0.092416	147.086075
	-934.219238	599.925232	0.092522	147.292740
	-928.330200	588.639526	0.091602	147.621857
	-922.863892	588.583374	0.091215	147.471115
	-920.505859	579.759033	0.090655	147.796204
	-922.222351	577.402100	0.090672	147.949387
	-928.024048	581.628052	0.091269	147.923065
	-927.041016	559.941650	0.090252	148.867615
	-924.420166	562.246643	0.090165	148.691391
	-925.264099	551.057495	0.089744	149.223343
	-924.197083	554.819397	0.089829	149.022522
	-924.502563	539.930237	0.089218	149.714111
	-928.472900	538.935059	0.089463	149.866837
	-929.790039	534.685059	0.089380	150.098511
	-927.564575	527.405518	0.088918	150.377808
	-932.301392	519.893066	0.088955	150.854004
	-930.076050	519.368469	0.088772	150.820358
	-928.848877	519.614014	0.088693	150.776611
	-933.972839	509.057068	0.088641	151.407639
	-935.465576	509.823486	0.088781	151.409866
	-933.064819	495.525848	0.088040	152.028427
	-933.196594	491.123199	0.087878	152.243042
